"V1" "V2" "V3" "V4"
"1" "27_2" "1" "681.448303232314" "-385.637904371013"
"2" "2_645" "2" "728.464588860409" "-903.983194127856"
"3" "645_136" "3" "841.583960517847" "-893.718456423128"
"4" "136_10" "4" "852.403875282359" "-1013.98877296683"
"5" "10_5" "5" "642.983724714674" "-1032.79383613688"
"6" "5_92" "6" "666.261399801981" "-1292.11034587501"
"7" "92_14" "7" "497.179327549658" "-1307.27666538161"
"8" "14_584" "8" "465.378118140179" "-952.517009180054"
"9" "584_7" "9" "521.228575542754" "-947.510048225016"
"10" "7_27" "10" "472.531969584177" "-404.364431293691"
